sim,arch,xai,k,iou,dice,rho,n
qdq,tf_efficientnetv2_s,gradcampp,0.3,0.7208,0.8351,0.8657,320
qdq,tf_efficientnetv2_s,ig,0.05,0.5025,0.6667,0.7966,320
qdq,tf_efficientnetv2_s,ig,0.1,0.5284,0.6902,0.7966,320
qdq,tf_efficientnetv2_s,ig,0.15,0.5504,0.7091,0.7966,320
qdq,tf_efficientnetv2_s,ig,0.2,0.5704,0.7258,0.7966,320
qdq,tf_efficientnetv2_s,ig,0.25,0.5899,0.7415,0.7966,320
qdq,tf_efficientnetv2_s,ig,0.3,0.6087,0.7563,0.7966,320
qdq,tf_efficientnetv2_s,lime,0.05,0.7362,0.7811,0.9132,120
qdq,tf_efficientnetv2_s,lime,0.1,0.7522,0.8256,0.9132,120
qdq,tf_efficientnetv2_s,lime,0.15,0.7415,0.8343,0.9132,120
qdq,tf_efficientnetv2_s,lime,0.2,0.7443,0.8395,0.9132,120
qdq,tf_efficientnetv2_s,lime,0.25,0.733,0.8355,0.9132,120
qdq,tf_efficientnetv2_s,lime,0.3,0.743,0.8449,0.9132,120
