image,model,gt_frac,gt_iou,gt_dice,chance_iou,pointing_game,mass_in_gt,collapsed
.10179.1517875222.489133,fp32,0.0056,0.0,0.0,0.0028,False,0.0053,False
.10179.1517875222.489133,int8-qdq,0.0056,0.0,0.0,0.0028,False,0.0039,False
.10191.1517875222.557126,fp32,0.0061,0.0,0.0,0.0031,False,0.0121,False
.10191.1517875222.557126,int8-qdq,0.0061,0.0,0.0,0.0031,False,0.0236,False
.10192.1517875222.561134,fp32,0.0182,0.0,0.0,0.0092,False,0.0239,False
.10192.1517875222.561134,int8-qdq,0.0182,0.0005,0.0011,0.0092,False,0.0076,False
.10195.1517875222.579098,fp32,0.0067,0.0,0.0,0.0033,False,0.0023,False
.10195.1517875222.579098,int8-qdq,0.0067,0.0,0.0,0.0033,False,0.0037,False
.10196.1517875222.580181,fp32,0.0528,0.0198,0.0389,0.0271,False,0.0663,False
.10196.1517875222.580181,int8-qdq,0.0528,0.0218,0.0426,0.0271,False,0.0539,False
.10197.1517875222.581234,fp32,0.0039,0.0,0.0,0.002,False,0.0113,False
.10197.1517875222.581234,int8-qdq,0.0039,0.0,0.0,0.002,False,0.0101,False
.10199.1517875222.591535,fp32,0.0066,0.0,0.0,0.0033,False,0.0119,False
.10199.1517875222.591535,int8-qdq,0.0066,0.0,0.0,0.0033,False,0.0139,False
.10205.1517875222.627574,fp32,0.028,0.0,0.0,0.0142,False,0.0108,False
.10205.1517875222.627574,int8-qdq,0.028,0.0,0.0,0.0142,False,0.0207,False
.10210.1517875222.631015,fp32,0.0228,0.0,0.0,0.0115,False,0.0325,False
.10210.1517875222.631015,int8-qdq,0.0228,0.0057,0.0114,0.0115,False,0.0286,False
.10216.1517875222.661273,fp32,0.0106,0.0,0.0,0.0053,False,0.0277,False
.10216.1517875222.661273,int8-qdq,0.0106,0.0,0.0,0.0053,False,0.0167,False
9.1022.1517875165.946423,fp32,0.0039,0.0,0.0,0.002,False,0.0047,False
9.1022.1517875165.946423,int8-qdq,0.0039,0.0,0.0,0.002,False,0.0013,False
.10222.1517875222.699231,fp32,0.0048,0.0,0.0,0.0024,False,0.0066,False
.10222.1517875222.699231,int8-qdq,0.0048,0.0,0.0,0.0024,False,0.01,False
.10224.1517875222.707891,fp32,0.0126,0.0,0.0,0.0064,False,0.0163,False
.10224.1517875222.707891,int8-qdq,0.0126,0.0,0.0,0.0064,False,0.0108,False
.10226.1517875222.727019,fp32,0.0021,0.0,0.0,0.0011,False,0.0017,False
.10226.1517875222.727019,int8-qdq,0.0021,0.0,0.0,0.0011,False,0.0009,False
.10227.1517875222.722373,fp32,0.0071,0.0,0.0,0.0035,False,0.0092,False
.10227.1517875222.722373,int8-qdq,0.0071,0.0,0.0,0.0035,False,0.0061,False
9.1023.1517875165.944494,fp32,0.0043,0.0,0.0,0.0022,False,0.0013,False
9.1023.1517875165.944494,int8-qdq,0.0043,0.0,0.0,0.0022,False,0.001,False
.10230.1517875222.741435,fp32,0.05,0.0,0.0,0.0256,False,0.012,False
.10230.1517875222.741435,int8-qdq,0.05,0.0,0.0,0.0256,False,0.0565,False
